pop,herb,rate,rep,ve,surv,ima_R,atra_R,gly_R,county,corn_soy,tillage,manure,infestation,SOA_1,SOA_2,SOA_4,SOA_5,SOA_6,SOA_9,SOA_10,SOA_14,SOA_15,SOA_19,SOA_27
A53,atrazine,1x,1,1,0,,no,,Rock,yes,yes,yes,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A54,atrazine,1x,1,1,0,,no,,Rock,yes,no,no,high,no,yes,yes,no,no,yes,no,yes,yes,yes,yes
A55,atrazine,1x,1,1,0,,no,,Rock,yes,yes,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A56,atrazine,1x,1,1,0,,no,,Rock,yes,no,no,medium,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A57,atrazine,1x,1,2,0,,no,,Rock,yes,yes,no,high,no,yes,no,no,no,yes,no,no,no,no,no
A58,atrazine,1x,1,1,0,,no,,Rock,yes,yes,no,high,no,no,no,no,no,yes,no,no,no,no,yes
A60,atrazine,1x,1,1,0,,no,,Rock,yes,yes,,medium,no,yes,yes,no,no,yes,no,yes,yes,yes,yes
A61,atrazine,1x,1,1,0,,no,,Green,yes,no,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,no
A62,atrazine,1x,1,1,0,,no,,Rock,yes,no,no,low,no,yes,yes,no,no,yes,no,yes,yes,yes,yes
A63,atrazine,1x,1,1,0,,no,,Green,yes,yes,no,low,no,yes,no,no,no,yes,no,yes,no,no,no
A64,atrazine,1x,1,1,0,,no,,Rock,yes,no,no,medium,no,yes,yes,no,no,no,no,no,yes,yes,no
A65,atrazine,1x,1,1,0,,no,,Grant,yes,yes,yes,low,no,yes,yes,yes,no,yes,no,yes,yes,no,no
A67,atrazine,1x,1,1,0,,no,,Found du Lac,yes,no,no,high,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes
A68,atrazine,1x,1,1,0,,no,,Calumet,yes,yes,yes,medium,no,no,no,yes,no,yes,no,no,no,no,no
A69,atrazine,1x,1,1,0,,no,,Found du Lac,yes,no,no,medium,no,no,no,no,no,yes,no,yes,yes,no,no
A70,atrazine,1x,1,9,1,,yes,,Monroe,yes,no,yes,high,no,yes,yes,yes,no,yes,no,no,yes,no,yes
A73,atrazine,1x,1,7,1,,yes,,Grant,,no,no,medium,no,no,no,yes,no,yes,yes,yes,yes,no,yes
A74,atrazine,1x,1,7,1,,no,,Lafayette,,no,no,high,no,no,yes,no,no,yes,no,no,no,no,no
A75,atrazine,1x,1,7,1,,no,,Found du Lac,yes,yes,no,medium,no,no,no,yes,no,yes,no,yes,yes,no,yes
A76,atrazine,1x,1,1,0,,no,,Found du Lac,yes,yes,no,low,no,no,no,yes,no,yes,no,yes,yes,no,yes
A77,atrazine,1x,1,4,0,,no,,Found du Lac,yes,yes,no,medium,no,yes,no,yes,no,yes,no,yes,yes,no,yes
A78,atrazine,1x,1,1,0,,no,,,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,no,no
A79,atrazine,1x,1,1,0,,no,,,yes,yes,yes,high,no,no,no,no,no,yes,no,no,yes,no,no
A80,atrazine,1x,1,1,0,,no,,,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A81,atrazine,1x,1,1,0,,no,,,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,no,yes,no,no
A82,atrazine,1x,1,1,0,,no,,Chippewa,yes,yes,no,high,yes,yes,no,yes,no,yes,no,yes,yes,no,yes
A83,atrazine,1x,1,7,1,,no,,Winnebago,yes,yes,no,low,no,yes,yes,no,no,yes,no,no,yes,no,no
A84,atrazine,1x,1,1,0,,no,,Pierce,yes,no,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,no
A85,atrazine,1x,1,1,0,,yes,,St. Croix,yes,,no,medium,no,no,yes,no,no,yes,no,no,yes,no,no
A87,atrazine,1x,1,4,0,,no,,Sheboygan,yes,,yes,,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes
A88,atrazine,1x,1,5,1,,no,,,yes,,no,medium,no,yes,no,yes,no,yes,no,yes,yes,no,yes
A89,atrazine,1x,1,1,0,,no,,Sheboygan,yes,yes,no,high,no,no,yes,no,no,yes,no,no,no,no,no
A90,atrazine,1x,1,1,0,,no,,Pensaukee,yes,,,high,no,no,no,no,no,yes,no,no,no,no,no
A91,atrazine,1x,1,7,1,,no,,Chippewa,yes,,,medium,no,no,no,yes,no,yes,no,no,yes,no,yes
